	|||		|||	
you say it	|||	pro;per|you v|say pro;per|it	|||	you say it
play with cowboy ~s cigarette	|||	n|play prep|with n|cow+boy poss|~s n|cigarette	|||	play with cowboy 's cigarette
look what that picture is	|||	co|look pro;int|what pro;dem|that n|picture cop|be-3S	|||	look what that picture is
d you think you can juggle	|||	mod|do pro;per|you v|think pro;per|you mod|can v|juggle	|||	d you think you can juggle
because there ~be too much snow	|||	conj|because pro;exist|there cop|~be adv|too qn|much n|snow	|||	because there 's too much snow
may I tear it off for you	|||	mod|may pro;sub|I v|tear pro;per|it adv|off prep|for pro;per|you	|||	may I tear it off for you
how did you attach that	|||	adv;int|how mod|do-PAST pro;per|you v|attach pro;dem|that	|||	how did you attach that
trash can	|||	n|trash mod|can	|||	trash can
that ~be not the reason	|||	pro;dem|that cop|~be neg|not det;art|the n|reason	|||	that 's not the reason
it ~be already down	|||	pro;per|it cop|~be adv|already adv|down	|||	it 's already down
are you as tall as Mommy	|||	cop|be-PRES pro;per|you adv|as adj|tall prep|as n;prop|Mommy	|||	are you as tall as Mommy
the ducks	|||	det;art|the n|duck-PL	|||	the ducks
that ~be where you keep your milk	|||	pro;dem|that cop|~be pro;rel|where pro;per|you v|keep det;poss|your n|milk	|||	that 's where you keep your milk
it ~be like a rainbow	|||	pro;per|it cop|~be conj|like det;art|a n|rain+bow	|||	it 's like a rainbow
out_of paper	|||	prep|out_of n|paper	|||	out_of paper
maybe one day	|||	adv|maybe pro;indef|one n|day	|||	maybe one day
come down or else you can ~not player over there anymore	|||	v|come adv|down coord|or post|else pro;per|you mod|can neg|~not n|play-dv adv|over adv|there adv|anymore	|||	come down or else you can 't player over there anymore
oh that ~be dollar	|||	co|oh pro;dem|that cop|~be n|dollar	|||	oh that 's dollar
Twinkles the elephant	|||	n;prop|Twinkles det;art|the n|elephant	|||	Twinkles the elephant
did he find it	|||	mod|do-PAST pro;sub|he v|find pro;per|it	|||	did he find it
who rides on the bus	|||	pro;rel|who n|ride-PL prep|on det;art|the n|bus	|||	who rides on the bus
a queen	|||	det;art|a n|queen	|||	a queen
does this have a name	|||	mod|do-3S pro;dem|this v|have det;art|a n|name	|||	does this have a name
radiator is hot	|||	n|radiator cop|be-3S adj|hot	|||	radiator is hot
would you	|||	mod|will-COND pro;per|you	|||	would you
what else do you remember about the airplane	|||	pro;int|what post|else v|do pro;per|you v|remember prep|about det;art|the n|airplane	|||	what else do you remember about the airplane
wake up	|||	v|wake adv|up	|||	wake up
I do ~not think he wants it on Adam	|||	pro;sub|I mod|do neg|~not v|think pro;sub|he v|want-3S pro;per|it prep|on n;prop|Adam	|||	I don 't think he wants it on Adam
careful with the record	|||	co|careful prep|with det;art|the n|record	|||	careful with the record
that ~be a pen	|||	pro;dem|that cop|~be det;art|a n|pen	|||	that 's a pen
no I do ~not want to fight	|||	co|no pro;sub|I mod|do neg|~not v|want prep|to n|fight	|||	no I don 't want to fight
oh punching ball	|||	co|oh part|punch-PRESP n|ball	|||	oh punching ball
I need something to write with	|||	pro;sub|I v|need pro;indef|something inf|to v|write prep|with	|||	I need something to write with
oh you ~be going to make a magic drawing board	|||	co|oh pro;per|you aux|~be part|go-PRESP inf|to v|make det;art|a n|magic n|drawing n|board	|||	oh you 're going to make a magic drawing board
d you see something white on the floor	|||	mod|do pro;per|you v|see pro;indef|something adj|white prep|on det;art|the n|floor	|||	d you see something white on the floor
well you have_to learn how	|||	co|well pro;per|you mod;aux|have_to v|learn adv;int|how	|||	well you have_to learn how
he do ~not know dogs and boys	|||	pro;sub|he mod|do neg|~not v|know n|dog-PL coord|and n|boy-PL	|||	he doesn 't know dogs and boys
no those are not broken	|||	qn|no pro;dem|those cop|be-PRES neg|not part|break-PASTP	|||	no those are not broken
I do ~not know who broke it	|||	pro;sub|I mod|do neg|~not v|know pro;int|who v|break-PAST pro;per|it	|||	I don 't know who broke it
ten eyes	|||	det;num|ten n|eye-PL	|||	ten eyes
why do ~not you ask Urs who did that	|||	adv;int|why mod|do neg|~not pro;per|you v|ask n;prop|Ursula pro;rel|who mod|do-PAST pro;dem|that	|||	why don 't you ask Urs who did that
back teeth	|||	adj|back n|tooth-PL	|||	back teeth
take nose off what	|||	v|take n|nose prep|off pro;int|what	|||	take nose off what
call Dr Robin	|||	n|call n;prop|Dr n;prop|Robin	|||	call Dr Robin
ask Ursula what his name is	|||	v|ask n;prop|Ursula pro;int|what det;poss|his n|name cop|be-3S	|||	ask Ursula what his name is
Mrs who	|||	n;prop|Mrs pro;rel|who	|||	Mrs who
Robin would you give him a few pieces of paper	|||	n;prop|Robin mod|will-COND pro;per|you v|give pro;obj|him det;art|a qn|few n|piece-PL prep|of n|paper	|||	Robin would you give him a few pieces of paper
no no no Adam that ~be dirty	|||	co|no co|no co|no n;prop|Adam pro;dem|that cop|~be adj|dirt-dn	|||	no no no Adam that 's dirty
no I do ~not know what a grabby boat is	|||	co|no pro;sub|I mod|do neg|~not v|know pro;int|what det;art|a adj|grab-dv n|boat cop|be-3S	|||	no I don 't know what a grabby boat is
you do ~not wear a bandana	|||	pro;per|you mod|do neg|~not v|wear det;art|a n|bandana	|||	you don 't wear a bandana
oh no you will ~not want any dinner	|||	co|oh co|no pro;per|you mod|will neg|~not v|want qn|any n|dinner	|||	oh no you won 't want any dinner
